Partner Name	Client Name	Emails Sent	Prints Sent
Direct	_NEW_DB_234	0	0
Direct	_NEW_DB_235	0	0
Direct	11833 - Vastech iletisim	0	0
Direct	Afrodit	0	0
Direct	Alisveris Saati	4226113	0
Direct	Alternate Gear	0	0
Direct	Anneysen	157996	0
Direct	Arooda	0	0
Direct	Baskentfirsati.com	148780	0
Direct	BeTravel	1579079	0
Direct	Bevisible	629468	0
Direct	Birebin	0	0
Direct	Bm Cam Donanimlari	0	0
Direct	BonnyFood	0	0
Direct	BonnyFood_Gift	0	0
Direct	bunlarkacmaz.com	0	0
Direct	Ceska Enerji	0	0
Moda Elinizde	Damat Tween Shop	0	0
Seganet	Deli Kupon	154874	0
Direct	DemosFuarcilik	0	0
Direct	Do Not Use	RCP Error	--
Direct	Dominos Pizza	31399	0
Moda Elinizde	DS Damat Shop	0	0
Direct	Duvar Dizayn	19331	0
Direct	Egitim Firsatim	0	0
Direct	Erkan insaat	2940	0
Direct	Erkengelenalir.com	12974	0
Direct	Ersa / Casio	97666	0
Direct	Evtekstilibul	95571	0
Gelecek Internet	Ford Cevizli	0	0
Direct	Grupo Sinergia Fc	5004	0
Direct	Hayal Kahvesi Caddebostan	0	0
Direct	Hayal Kahvesi Saskinbakkal	0	0
Direct	Hotic	0	0
Direct	i-gunler.CoM	150211	0
Direct	ICT	0	0
Direct	imza Gayrimenkul	0	0
Direct	ISF Demo	0	0
Direct	Izlesene.CoM	0	0
Direct	Jetmilstar	0	0
Direct	Jimg Media	248298	0
Direct	KatyaUK	0	0
Direct	Kent Optimum	5	0
Direct	LTE	0	0
Direct	Mavi Egitim	0	0
Moda Elinizde	Moda Elinizde	749004	0
Moda Elinizde	Moda Elinizde Kampanya	303363	0
Direct	NanoDRM	2651	0
Direct	Nasel iletisim	0	0
Direct	nfinitygames	0	0
Direct	Offer Beam	0	0
Direct	Orkagroup	0	0
Direct	OutBox	0	0
Direct	Pagos	60352	0
Direct	People Communication	1793	0
Direct	Portline	0	0
Moda Elinizde	Private Shopping	421783	0
Direct	Reklamz	0	0
Gelecek Internet	Renault Maslak	0	0
Direct	Revotas	45	0
Direct	Revotas Demo	0	0
Direct	Revotas Demo US	1	0
Direct	Revotas New Demo	0	0
Direct	Roxy	0	0
Direct	Saatturk	5	0
Direct	Sigortam.net	2581609	0
Direct	SMP Promosyon	0	0
Direct	Trend.im	0	0
Direct	Voit  - Arcelik - Yetkilisaticim	0	0
Direct	www.lushturkey.com	20450	0
Gelecek Internet	Yeni Bir Sigorta	0	0
Direct	YYM Demo	721181	0
