Partner Name	Client Name	Emails Sent	Prints Sent
Direct	_NEW_RCP1_BASIC_464	0	0
Direct	_NEW_RCP1_BASIC_465	0	0
Direct	_NEW_RCP1_BASIC_466	0	0
Direct	_NEW_RCP1_BASIC_467	0	0
Direct	_NEW_RCP1_BASIC_468	0	0
Direct	_NEW_RCP1_BASIC_469	0	0
Direct	_NEW_RCP1_BASIC_470	0	0
Direct	_NEW_RCP2_PLUS_458	0	0
Direct	_NEW_RCP2_PLUS_459	0	0
Direct	_NEW_RCP2_PLUS_460	0	0
Direct	_NEW_RCP3_MINI_445	0	0
Direct	_NEW_RCP3_MINI_446	0	0
Direct	_NEW_RCP3_MINI_447	0	0
Direct	_NEW_RCP3_MINI_448	0	0
Direct	_NEW_RCP3_MINI_449	0	0
Direct	_NEW_RCP3_MINI_450	0	0
Direct	_NEW_RCP3_MINI_452	0	0
Direct	_NEW_RCP3_MINI_453	0	0
Direct	_NEW_RCP3_MINI_454	0	0
Direct	_NEW_RCP3_MINI_455	0	0
Bilginet	_NEW_RCP5_394	0	0
Direct	İdealimaj Hizmetleri	6595	0
Direct	İnfoLANG Dil Okulları	14	0
Direct	İstanbul Tango	7930	0
Direct	Adidas	0	0
Direct	Afrodit	4299	0
Direct	Alamarka Vip Elektronik	0	0
Direct	Alamarka Vip Elektronik 2	21184	0
Direct	Allen Carr Türkiye	7054	0
Direct	Aluexpo	RCP Error	--
Direct	Amade Turizm ve Zaman Turizm	166508	0
Bilginet	Ankiros	8141	0
Direct	Anneysen	307527	0
Bilginet	Antik Hotel	11129	0
Bilginet	Apolena	RCP Error	--
Direct	Arzu Ugur 2	16828	0
Direct	Ayakkabici.co	RCP Error	--
Bilginet	Ayyıldız	41336	0
Direct	Baklavaci Güllüo�?lu	10004	0
Direct	Bamtur	RCP Error	--
Direct	Beelogold	RCP Error	--
Direct	Benim Halım	0	0
Bilginet	Berke Ayak Giysileri	333311	0
Direct	Bilginet	RCP Error	--
Direct	Bilginet Demo	RCP Error	--
Direct	Bili�?im E�?itim Merkezi	67034	0
Direct	Binbirmarka Sanal Ma�?azacılık	RCP Error	--
Bilginet	Blackshot	0	0
Direct	Blue	1683	0
Direct	Bm Cam Donanimlari	0	0
Direct	BonnyFood	1009781	0
Bilginet	Burc Tanitim	70229	0
Direct	Cabani Ayakkabı	0	0
Direct	Cadde Tercume	40694	0
Direct	Coral Travel	664772	0
Direct	Corap Terzisi	RCP Error	--
Direct	Cosmetica	RCP Error	--
Direct	Damattweenshop	RCP Error	--
Direct	Demos Fuarcilik 2	31903	0
Direct	Depodyum	132667	0
Direct	Display Gorsel	0	0
Bilginet	Do-Re Muzik	64163	0
Bilginet	Do�?a Nanobiyotek	0	0
Bilginet	Do�?an �?anta	7	0
Moda Elinizde	DS Damat Shop	RCP Error	--
Direct	DSDamat	2531	0
Direct	e-mey.com	77791	0
Direct	Elemental Value	8388	0
Direct	ELFE	252544	0
Direct	Emel Pirlanta	RCP Error	--
Direct	Enefm 2013	RCP Error	--
Bilginet	Enyenieski.com	249251	0
Direct	Eticad	RCP Error	--
Direct	Evimharika	418608	0
Direct	Firo Turizm	RCP Error	--
Direct	Foninvest	19	0
Direct	Fonipon	512517	0
Bilginet	Forever	0	0
Direct	Güvennet	0	0
Bilginet	Giydirelim	72551	0
Bilginet	Gunun TatiLi	653044	0
Direct	Hangisi & Hangikredi	0	0
Direct	Hedef Filo Hizmetleri	7453	0
Direct	Hellobaby	179469	0
Direct	Hementeslimal	311880	0
Bilginet	Heristedigin.com	RCP Error	--
Direct	Hiperaktif	0	0
Direct	Hititkim	19	0
Direct	Hizmet Grup	0	0
Bilginet	HmsTatiL	868400	0
Direct	Hospitadent	27669	0
Direct	Hotic	1	0
Direct	Hpirint	2126	0
Direct	i-gunler.CoM	0	0
Direct	i-gunler.CoM New	0	0
Direct	IMDER	22123	0
Bilginet	inhores	77813	0
Bilginet	insancil sahaf	39144	0
Direct	interkom Telekomrinikasyon	6540	0
Direct	Interm 2013	RCP Error	--
Direct	Karınca Tasarım �?rünleri	36919	0
Bilginet	Kayada Pazarlama-2	RCP Error	--
Direct	Kayra	53186	0
Direct	Kazanabil	14	0
Bilginet	Kentkart	8740	0
Bilginet	Keskin Color	1535	0
Bilginet	Kida Kitap Da�?ıtım	1842	0
Bilginet	Kipling	2559	0
Direct	Kobilife	0	0
Direct	Kocakgold	0	0
Direct	Luce Halkla İli�?kiler	RCP Error	--
Direct	Luxsahibi	0	0
Direct	Maranki	108566	0
Direct	Markapella Elektronik	RCP Error	--
Direct	Mavi Egitim	23136	0
Direct	Minikbaby	0	0
Direct	Moda  Saat	829792	0
Bilginet	Moda Dü�?ün	0	0
Moda Elinizde	Moda Elinizde	1252183	0
Moda Elinizde	Moda Elinizde Kampanya	0	0
Direct	Mormeyhane	18382	0
Direct	Muddleme Inc	0	0
Bilginet	Netvarium	0	0
Bilginet	Netvarium2	40847678	0
Direct	Nfinity Games_2	0	0
Direct	nfinitygames	0	0
Bilginet	NOGG	0	0
Direct	Nutrishop.com.tr	7226	0
Direct	Odeon Kurumsal	14	0
Bilginet	Oksuzogullari	0	0
Bilginet	Okyanus Yayincilik	0	0
Direct	Olimpia Event Hall	RCP Error	--
Direct	Onlydent	0	0
Direct	Orange	RCP Error	--
Direct	Orange_2	1102113	0
Direct	Orange_3	RCP Error	--
Direct	Orange_4S	14761	0
Direct	Orkagroup	0	0
Direct	Oxygen Consultancy	0	0
Direct	Pagos	0	0
Direct	panborekspress	RCP Error	--
Bilginet	Papirus	17809	0
Direct	People Communication	RCP Error	--
Direct	Petsatis	15637	0
Moda Elinizde	Private Shopping	1	0
Direct	qamarketresearch	36238	0
Direct	Qtoo	14	0
Direct	Quiksilver	21021	0
Direct	Reklamz	RCP Error	--
Direct	Researcher	47935	0
Direct	Revotas	808	0
Direct	Revotas Demo US	0	0
