Partner Name	Client Name	Emails Sent	Prints Sent
Direct	_NEW_DB_234	0	0
Direct	_NEW_DB_235	0	0
Direct	11833 - Vastech iletisim	60320	0
Direct	Afrodit	0	0
Direct	Alisveris Saati	1861609	0
Direct	Alternate Gear	0	0
Direct	Anneysen	142463	0
Direct	Arooda	0	0
Direct	Baskentfirsati.com	172042	0
Direct	BeTravel	1683874	0
Direct	Bevisible	841218	0
Direct	Birebin	0	0
Direct	Bm Cam Donanimlari	8045	0
Direct	BonnyFood	249446	0
Direct	BonnyFood_Gift	0	0
Direct	bunlarkacmaz.com	0	0
Direct	Ceska Enerji	0	0
Moda Elinizde	Damat Tween Shop	0	0
Seganet	Deli Kupon	0	0
Direct	DemosFuarcilik	63591	0
Direct	Do Not Use	RCP Error	--
Direct	Dominos Pizza	36512	0
Moda Elinizde	DS Damat Shop	0	0
Direct	Duvar Dizayn	37008	0
Direct	Egitim Firsatim	0	0
Direct	Erkan insaat	31330	0
Direct	Erkengelenalir.com	0	0
Direct	Ersa / Casio	0	0
Direct	Evtekstilibul	93117	0
Gelecek Internet	Ford Cevizli	0	0
Direct	Grupo Sinergia Fc	5001	0
Direct	Hayal Kahvesi Caddebostan	0	0
Direct	Hayal Kahvesi Saskinbakkal	8284	0
Direct	Hotic	0	0
Direct	i-gunler.CoM	121202	0
Direct	ICT	0	0
Direct	imza Gayrimenkul	0	0
Direct	ISF Demo	0	0
Direct	Izlesene.CoM	0	0
Direct	Jetmilstar	224468	0
Direct	Jimg Media	37322	0
Direct	KatyaUK	0	0
Direct	Kent Optimum	9796	0
Direct	LTE	1876	0
Direct	Mavi Egitim	47030	0
Moda Elinizde	Moda Elinizde	861639	0
Moda Elinizde	Moda Elinizde Kampanya	351499	0
Direct	NanoDRM	2608	0
Direct	Nasel iletisim	19798	0
Direct	nfinitygames	0	0
Direct	Offer Beam	0	0
Direct	Orkagroup	0	0
Direct	OutBox	857	0
Direct	Pagos	0	0
Direct	People Communication	3348	0
Direct	Portline	1439	0
Moda Elinizde	Private Shopping	859598	0
Direct	Reklamz	0	0
Gelecek Internet	Renault Maslak	0	0
Direct	Revotas	1625	0
Direct	Revotas Demo	0	0
Direct	Revotas Demo US	0	0
Direct	Revotas New Demo	0	0
Direct	Roxy	2811	0
Direct	Saatturk	199601	0
Direct	Sigortam.net	1193957	0
Direct	SMP Promosyon	3237	0
Direct	Trend.im	261943	0
Direct	Voit  - Arcelik - Yetkilisaticim	101073	0
Direct	www.lushturkey.com	28943	0
Gelecek Internet	Yeni Bir Sigorta	100155	0
Direct	YYM Demo	181374	0
