Partner Name	Client Name	Emails Sent	Prints Sent
Direct	_NEW_RCP1_427	0	0
Direct	_NEW_RCP1_428	0	0
Bilginet	_NEW_RCP5_394	0	0
Direct	Ä°dealimaj Hizmetleri	9978	0
Direct	Ä°nfoLANG Dil OkullarÄ±	0	0
Direct	Ä°stanbul Tango	34318	0
Direct	Afrodit	0	0
Direct	Alamarka Vip Elektronik	0	0
Direct	Alamarka Vip Elektronik 2	21406	0
Direct	Allen Carr TÃ¼rkiye	5620	0
Direct	Aluexpo	0	0
Direct	Amade Turizm ve Zaman Turizm	169003	0
Bilginet	Ankiros	0	0
Direct	Anneysen	254913	0
Bilginet	Antik Hotel	7440	0
Bilginet	Apolena	0	0
Direct	Arzu Ugur 2	40315	0
Direct	Ayakkabici.co	0	0
Bilginet	AyyÄ±ldÄ±z	90208	0
Direct	Baklavaci GÃ¼llÃ¼oÄ?lu	0	0
Direct	Bamtur	RCP Error	--
Direct	Beelogold	19451	0
Bilginet	Berke Ayak Giysileri	0	0
Direct	Bilginet	RCP Error	--
Direct	Bilginet Demo	RCP Error	--
Direct	BiliÅ?im EÄ?itim Merkezi	27680	0
Direct	Binbirmarka Sanal MaÄ?azacÄ±lÄ±k	RCP Error	--
Bilginet	Blackshot	0	0
Direct	Blue	1395	0
Direct	Bm Cam Donanimlari	4758	0
Direct	BonnyFood	986468	0
Direct	Bonte Turizm	3371	0
Bilginet	Burc Tanitim	109795	0
Direct	Cabani AyakkabÄ±	0	0
Direct	Corap Terzisi	RCP Error	--
Direct	Cosmetica	39559	0
Direct	Damattweenshop	0	0
Direct	Demos Fuarcilik 2	0	0
Direct	Dinamo Training / Consulting	0	0
Direct	Display Gorsel	0	0
Bilginet	Do-Re Muzik	330613	0
Bilginet	DoÄ?a Nanobiyotek	52059	0
Bilginet	DoÄ?an Ã?anta	57924	0
Moda Elinizde	DS Damat Shop	RCP Error	--
Direct	DSDamat	3752	0
Direct	e-mey.com	54348	0
Direct	ELFE	222559	0
Direct	Emel Pirlanta	RCP Error	--
Direct	Enefm 2013	0	0
Bilginet	Enyenieski.com	460637	0
Bilginet	Erkan Sariyildiz	0	0
Direct	Eticad	RCP Error	--
Direct	Firo Turizm	0	0
Direct	Fonipon	0	0
Bilginet	Forever	3016	0
Bilginet	Giydirelim	92635	0
Bilginet	Gunun TatiLi	1051111	0
Direct	Hangisi & Hangikredi	146851	0
Direct	Hedef Filo Hizmetleri	0	0
Direct	Hellobaby	96981	0
Direct	Hementeslimal	153412	0
Bilginet	Heristedigin.com	0	0
Direct	Hiperaktif	0	0
Direct	Hizmet Grup	2350	0
Bilginet	HmsTatiL	1558366	0
Direct	Hospitadent	14130	0
Direct	Hotic	70	0
Direct	i-gunler.CoM	0	0
Direct	i-gunler.CoM New	0	0
Direct	IMDER	21383	0
Bilginet	inhores	232903	0
Bilginet	insancil sahaf	42866	0
Direct	Interm 2013	0	0
Direct	KarÄ±nca TasarÄ±m Ã?rÃ¼nleri	17625	0
Direct	Kayada Pazarlama	0	0
Bilginet	Kayada Pazarlama-2	0	0
